FS177 UB	1007.5085	1007.9396	100.0112	
FS178 UB	1008.3832	1007.1650	100.0042	
FS179 B	1008.4939	1007.1892	100.0044	
FS180 B	1008.5289	1006.9433	100.0092	
FS181 BL	1008.4415	1007.0181	100.0061	
FS182 UB	1006.5755	1004.3005	100.0070	
FS183 SL	1008.7741	1004.8335	100.0170	
FS184 UB	1005.8588	1006.0296	100.0041	
FS185 UB	1007.5126	1007.9909	100.0068	
FS186 UB	1008.5535	1006.9925	100.0023	
FS187 UB	1008.8312	1005.9842	100.0073	
FS188 UB	1009.0243	1006.2684	100.0073	
FS189 UB	1009.0649	1006.3849	100.0110	
FS190 UB	1008.9695	1006.3121	100.0038	
FS191 B	1009.0284	1006.0493	100.0124	
FS192 UB	1008.4750	1006.8990	99.9977	
FS193 UB	1007.5426	1006.0633	100.0067	
FS194 UB	1007.5401	1005.8076	100.0104	
FS195 UB	1007.7098	1007.4883	100.0034	
FS196 B	1008.8939	1007.1287	99.9892	
FS197 SL	1008.8407	1007.1946	99.9872	
FS198 B	1009.1223	1006.3029	99.9984	
FS199 B	1009.1055	1006.4488	100.0094	
FS200 UB	1008.8249	1006.2047	100.0031	
FS201 UB	1008.7226	1006.1764	99.9989	
FS202 UB	1007.4761	1004.6172	100.0210	
FS203 UB	1008.2871	1005.3920	100.0383	
FS204 LIT	1008.3622	1005.4603	100.0318	
FS205 UB	1007.4850	1007.8932	100.0039	
FS206 B	1007.7216	1007.7189	99.9918	
FS207 UB	1009.1275	1006.2601	99.9993	
FS208 UB	1009.0764	1006.3690	99.9978	
FS209 UB	1008.3086	1005.5055	100.0286	
FS210 UB	1007.6050	1004.3616	100.0192	
FS212 UB	1008.7873	1006.3602	100.0190	
FS213 UB	1007.6440	1004.5729	100.0027	
FS214 UB	1007.7438	1004.4422	100.0016	
FS215 UB	1007.2525	1005.7046	100.0141	
FS216 UB	1007.9236	1004.8047	100.0413	
FS217 T	1006.9915	1007.6689	100.0146	
FS218 UB	1007.3544	1007.4190	100.0585	
FS219 UB	1007.3488	1007.5506	100.0639	
FS220 UB	1007.8380	1004.8298	100.0391	
FS221 UB	1008.6988	1006.3633	100.0042	
FS222 B	1008.9045	1006.4887	100.0021	
FS223 UB	1008.9804	1006.4693	100.0009	
FS224 UB	1008.7990	1006.5139	100.0076	
